idHecho,N_VICTIMAS,FECHA_x,AAAA_x,MM_x,DD_x,HORA,HH,TIPO_DE_CALLE,COMUNA,Longitud,Latitud,VICTIMA_x,ACUSADO,ROL,SEXO,semestre,dia_semana_espanol,Rango Etario
2016-0001,1,2016-01-01,2016,1,1,2023-12-05 04:00:00,4,avenida,8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,1,Viernes,Adulto Joven
2016-0002,1,2016-01-02,2016,1,2,2023-12-05 01:15:00,1,gral paz,9,-58.50877521,-34.66977709,auto,pasajeros,conductor,masculino,1,Sábado,Anciano
2016-0003,1,2016-01-03,2016,1,3,2023-12-05 07:00:00,7,avenida,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,1,Domingo,Adulto
2016-0004,1,2016-01-10,2016,1,10,2023-12-05 00:00:00,0,avenida,8,-58.46503904,-34.68092974,moto,sd,conductor,masculino,1,Domingo,Adulto Joven
2016-0005,1,2016-01-21,2016,1,21,2023-12-05 05:20:00,5,avenida,1,-58.38718297,-34.6224663,moto,pasajeros,conductor,masculino,1,Jueves,Adulto
2016-0008,1,2016-01-24,2016,1,24,2023-12-05 18:30:00,18,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,1,Domingo,Adulto
2016-0009,1,2016-01-24,2016,1,24,2023-12-05 19:10:00,19,calle,11,-58.50095869,-34.6082544,moto,auto,pasajero_acompaniante,masculino,1,Domingo,Adulto
2016-0010,1,2016-01-29,2016,1,29,2023-12-05 15:20:00,15,gral paz,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,1,Viernes,Adulto Joven
2016-0012,1,2016-02-08,2016,2,8,2023-12-05 01:20:00,1,avenida,1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,1,Lunes,Adulto Joven
2016-0013,1,2016-02-10,2016,2,10,2023-12-05 11:30:00,11,avenida,1,-58.39114932,-34.62477387,peaton,auto,peaton,masculino,1,Miércoles,Adolescencia
2016-0015,1,2016-02-14,2016,2,14,2023-12-05 05:14:00,5,avenida,15,-58.4376002,-34.59912758,peaton,auto,peaton,femenino,1,Domingo,Adolescencia
2016-0016,1,2016-02-14,2016,2,14,2023-12-05 22:00:00,22,avenida,4,-58.36882665,-34.64291993,moto,auto,pasajero_acompaniante,femenino,1,Domingo,Adulto Joven
2016-0017,1,2016-02-15,2016,2,15,2023-12-05 16:54:00,16,avenida,8,-58.44989671,-34.65970435,peaton,moto,peaton,masculino,1,Lunes,Adulto Mayor
2016-0019,1,2016-02-17,2016,2,17,2023-12-05 09:30:00,9,calle,9,-58.50990884,-34.65468721,peaton,pasajeros,peaton,femenino,1,Miércoles,Anciano
2016-0020,1,2016-02-17,2016,2,17,2023-12-05 16:00:00,16,calle,1,-58.37952223,-34.60653282,peaton,auto,peaton,masculino,1,Miércoles,Adulto Mayor
2016-0021,1,2016-02-17,2016,2,17,2023-12-05 23:35:00,23,avenida,7,-58.45157703,-34.63063795,auto,auto,conductor,masculino,1,Miércoles,Adulto
2016-0022,1,2016-02-21,2016,2,21,2023-12-05 06:00:00,6,avenida,1,-58.38144696,-34.61079875,moto,auto,pasajero_acompaniante,masculino,1,Domingo,Adulto de Edad Media
2016-0025,1,2016-02-28,2016,2,28,2023-12-05 04:50:00,4,gral paz,8,-58.46244952,-34.70524971,auto,auto,pasajero_acompaniante,masculino,1,Domingo,Adulto
2016-0026,1,2016-02-28,2016,2,28,2023-12-05 07:30:00,7,calle,12,-58.49216191,-34.54738649,auto,objeto fijo,conductor,masculino,1,Domingo,Adulto
2016-0027,1,2016-02-28,2016,2,28,2023-12-05 09:35:00,9,avenida,7,-58.44497874,-34.63852623,auto,auto,pasajero_acompaniante,masculino,1,Domingo,Adulto
2016-0028,1,2016-03-02,2016,3,2,2023-12-05 10:00:00,10,avenida,1,-58.38199706,-34.60028648,peaton,cargas,peaton,masculino,1,Miércoles,Adulto Mayor
2016-0029,1,2016-03-04,2016,3,4,2023-12-05 17:30:00,17,avenida,12,-58.47378664,-34.54153077,peaton,pasajeros,peaton,masculino,1,Viernes,Adulto de Edad Media
2016-0031,1,2016-03-08,2016,3,8,2023-12-05 12:30:00,12,gral paz,8,-58.47064556,-34.69843756,moto,pasajeros,conductor,masculino,1,Martes,Adulto Joven
2016-0034,1,2016-03-12,2016,3,12,2023-12-05 12:30:00,12,avenida,4,-58.40623949,-34.65076549,peaton,pasajeros,peaton,masculino,1,Sábado,Adulto Mayor
2016-0035,1,2016-03-13,2016,3,13,2023-12-05 06:00:00,6,avenida,3,-58.39228965,-34.60443527,moto,pasajeros,conductor,masculino,1,Domingo,Adulto
2016-0036,1,2016-03-14,2016,3,14,2023-12-05 00:15:00,0,calle,4,-58.37813396,-34.63668504,moto,pasajeros,pasajero_acompaniante,masculino,1,Lunes,Adulto de Edad Media
2016-0037,1,2016-03-19,2016,3,19,2023-12-05 11:00:00,11,avenida,7,-58.46275892,-34.64358293,moto,moto,conductor,masculino,1,Sábado,Adulto Joven
2016-0038,1,2016-03-21,2016,3,21,2023-12-05 08:06:00,8,gral paz,8,-58.49683458,-34.67892743,peaton,pasajeros,peaton,masculino,1,Lunes,Adulto
2016-0039,1,2016-03-23,2016,3,23,2023-12-05 01:50:00,1,avenida,3,-58.40603217,-34.6088396,moto,pasajeros,conductor,masculino,1,Miércoles,Adulto Joven
2016-0041,1,2016-03-29,2016,3,29,2023-12-05 11:00:00,11,avenida,7,-58.4607655,-34.63350444,moto,cargas,conductor,masculino,1,Martes,Adulto Mayor
2016-0041,1,2016-03-29,2016,3,29,2023-12-05 11:00:00,11,avenida,7,-58.4607655,-34.63350444,moto,cargas,pasajero_acompaniante,masculino,1,Martes,Adulto de Edad Media
